Discount,Sales,Profit
0.0,226.74207378074198,66.90029245518967
0.1,578.3973510638298,96.05507446808511
0.15,529.9715673076923,27.288298076923077
0.2,209.07693956795188,24.702572053595844
0.3,454.7429735682819,-45.67963612334801
0.32,536.7947703703704,-88.56065555555554
0.4,565.1348737864078,-111.9274291262136
0.45,498.634,-226.64646363636365
0.5,892.7051515151516,-310.7034560606061
0.6,48.15,-43.0772115942029
0.7,97.1777081339713,-95.87405956937799
0.8,56.54585333333334,-101.79679733333333
